model	nDCG	Recall	Precision	Gini	ItemCoverage	EPC	EFD	APLT	ARP
ItemKNN_nn=457_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.0889885746293596	0.05498975727730381	0.10140728476821192	0.045871208202884595	814.0	0.07972072774902017	0.9206270325053486	0.007268211920529803	1365.1744205298014
ItemKNN_nn=413_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.0889198588720731	0.05522451340331632	0.10183774834437087	0.04801814278204852	837.0	0.07999860317270532	0.9231525433020275	0.007814569536423841	1348.979834437086
ItemKNN_nn=838_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.0903770771355593	0.05627972624271315	0.10405629139072847	0.03370258208479482	657.0	0.08023351334638563	0.932637010309178	0.005198675496688741	1475.889917218543
ItemKNN_nn=447_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.08893879828541966	0.054834854477947156	0.10147350993377485	0.04633043549854621	819.0	0.07974457427558593	0.9205372897508902	0.007317880794701987	1360.4979966887418
ItemKNN_nn=813_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.09036749223107815	0.05636162611709536	0.10417218543046358	0.03427425705159726	664.0	0.0803795481258504	0.9339282569172549	0.005248344370860927	1470.2374006622517
ItemKNN_nn=800_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.09066185351914485	0.05646532821047634	0.10432119205298016	0.03455198263832471	671.0	0.08057709463219168	0.9360796508975247	0.005298013245033113	1467.3333774834439
ItemKNN_nn=735_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.09051359479267598	0.05700436928953644	0.10433774834437087	0.036180579158811677	694.0	0.08065648511366164	0.9358478755950338	0.005447019867549668	1450.7407781456955
ItemKNN_nn=618_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.09006132130146881	0.05637375049608053	0.10332781456953642	0.03941333623257559	730.0	0.080557382526897	0.9329743191395853	0.006109271523178808	1421.623493377483
ItemKNN_nn=545_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.08943680725866876	0.05549524404388886	0.10216887417218544	0.04218957877248042	766.0	0.08019770702545835	0.92751293888993	0.006506622516556291	1397.543526490066
ItemKNN_nn=955_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.09012921731409546	0.05646198753204228	0.10415562913907286	0.031673130147122364	624.0	0.07988652569189872	0.9295633178298136	0.00478476821192053	1496.6841556291392
ItemKNN_nn=8_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.07445187796507625	0.04589589942785505	0.08468543046357616	0.09097655202697152	1332.0	0.07025283439282397	0.8037974764321564	0.02634105960264901	1063.7879139072847
ItemKNN_nn=879_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.09005292753916672	0.05634680146892626	0.10423841059602651	0.032974326928963626	652.0	0.0800247601812089	0.9303371983399522	0.005033112582781457	1483.220811258278
ItemKNN_nn=882_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.09012829989554931	0.05639596498570092	0.10450331125827815	0.03292998330120922	650.0	0.08014059921680815	0.9317304743190746	0.005016556291390728	1483.703642384106
ItemKNN_nn=529_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.08930645203097352	0.055052628057551435	0.1015562913907285	0.04277473310434954	768.0	0.07994937675950207	0.9243302931428503	0.006721854304635762	1391.721059602649
ItemKNN_nn=638_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.08999273911189205	0.05631434879597495	0.10336092715231789	0.038779478854180094	725.0	0.08042929600715902	0.9317946549003117	0.0060099337748344365	1426.5331622516558
ItemKNN_nn=585_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.0896429750351164	0.05572754306330634	0.10236754966887417	0.04066441553177502	749.0	0.08013980006181005	0.9278566313088618	0.006241721854304636	1411.6087582781458
ItemKNN_nn=518_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.08901162297926149	0.055121809984352683	0.10147350993377485	0.04326790686677062	777.0	0.07974682537569307	0.9217388527078577	0.00683774834437086	1387.3191887417217
ItemKNN_nn=693_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.08998206396530205	0.05627900814360205	0.1037748344370861	0.03717244720669988	701.0	0.08039621109028598	0.9321829378417145	0.0056456953642384095	1440.9769536423842
ItemKNN_nn=291_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.0853573145341294	0.05256579250484422	0.09781456953642384	0.05576809158790508	910.0	0.07793775583186688	0.8965638427158068	0.009917218543046358	1289.272466887417
ItemKNN_nn=400_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.08846016949316408	0.054741337469006925	0.10134105960264901	0.04871694811130567	851.0	0.07963492716834432	0.9186753620974892	0.007980132450331126	1344.0640397350994
