model	nDCG	Recall	Precision	Gini	ItemCoverage	EPC	EFD	APLT	ARP
iALS_seed=42_e=125_bs=-1_factors=127_alpha=34$79960880376472_epsilon=0$8832128533071132_reg=0$023352574146813763_scaling=log	0.05520115669932728	0.04323453031246943	0.0672682119205298	0.16545540620705235	1655.0	0.05723541804386433	0.652734065812256	0.05354304635761589	900.6861589403974
iALS_seed=42_e=470_bs=-1_factors=171_alpha=2$035491285784466_epsilon=3$2993359216663074_reg=0$06409875352304664_scaling=linear	0.053955294406582185	0.03995704548931341	0.06594370860927151	0.17559536149398247	1694.0	0.056730061321954864	0.6452058847608156	0.059900662251655634	848.3449006622516
iALS_seed=42_e=281_bs=-1_factors=127_alpha=25$758935506679293_epsilon=6$012834262272169_reg=0$05824161983652692_scaling=linear	0.04389992794303847	0.03478600152533921	0.05415562913907284	0.19208555438506858	1833.0	0.047681060452228294	0.5433216669049304	0.07331125827814569	779.7572019867549
iALS_seed=42_e=68_bs=-1_factors=104_alpha=4$011304820095971_epsilon=0$219147073246499_reg=0$02274333791945149_scaling=linear	0.032710455251784454	0.028907134866386592	0.04150662251655629	0.2393923941336792	2123.0	0.03588859690699983	0.41392656511567166	0.15653973509933775	685.0195860927153
iALS_seed=42_e=23_bs=-1_factors=96_alpha=4$837535083083788_epsilon=9$807369994145782_reg=0$08142757621011466_scaling=log	0.05232015539465061	0.04158731123400938	0.06524834437086093	0.16693513860418363	1713.0	0.055245907207493075	0.6312563447511267	0.059072847682119206	935.0805794701987
iALS_seed=42_e=469_bs=-1_factors=41_alpha=31$000737066972164_epsilon=7$463540180101807_reg=0$04123858831392696_scaling=log	0.0468034585923505	0.03821231927205034	0.060281456953642384	0.20345979518120616	1854.0	0.051994394759327024	0.5974109437097803	0.09976821192052983	824.3568046357615
iALS_seed=42_e=279_bs=-1_factors=186_alpha=49$13929311689185_epsilon=8$015549979153041_reg=0$08761295053767618_scaling=linear	0.04254833724120298	0.030999416427466522	0.05607615894039736	0.2307226079668646	1757.0	0.05114920403866074	0.5766809174097363	0.08096026490066226	595.3390562913908
iALS_seed=42_e=336_bs=-1_factors=60_alpha=19$38667457040441_epsilon=2$231671287600023_reg=0$05444905333059128_scaling=linear	0.02419164211043461	0.02196404965454292	0.030761589403973513	0.1655045736952886	1856.0	0.02693030519084438	0.3191913894347496	0.2058774834437086	673.8176158940398
iALS_seed=42_e=413_bs=-1_factors=23_alpha=27$90086448472899_epsilon=9$844163472489921_reg=0$02202615546286725_scaling=linear	0.005886019285705284	0.007493710159463671	0.008543046357615896	0.12479809452233237	1279.0	0.007057733611880386	0.08918576107338155	0.6061258278145696	273.42365894039733
iALS_seed=42_e=315_bs=-1_factors=97_alpha=47$59917348741442_epsilon=4$45706084045807_reg=0$05288802909147688_scaling=linear	0.013102519657484352	0.013958136652783266	0.016043046357615894	0.16791464616930607	1815.0	0.01378513522902596	0.1686278842959962	0.48915562913907285	354.59302980132446
