model	metric	value
NeuMF_seed=42_e=30_bs=256_lr=0$001_mffactors=128_drop=0_mftrain=True_mlptrain=True_m=8	nDCG	0.0711161713259159
NeuMF_seed=42_e=30_bs=256_lr=0$001_mffactors=128_drop=0_mftrain=True_mlptrain=True_m=8	Recall	0.048306687875611085
NeuMF_seed=42_e=30_bs=256_lr=0$001_mffactors=128_drop=0_mftrain=True_mlptrain=True_m=8	Precision	0.08374172185430465
NeuMF_seed=42_e=30_bs=256_lr=0$001_mffactors=128_drop=0_mftrain=True_mlptrain=True_m=8	Gini	0.10659562115911947
NeuMF_seed=42_e=30_bs=256_lr=0$001_mffactors=128_drop=0_mftrain=True_mlptrain=True_m=8	ItemCoverage	1390.0
NeuMF_seed=42_e=30_bs=256_lr=0$001_mffactors=128_drop=0_mftrain=True_mlptrain=True_m=8	EPC	0.06979494257357405
NeuMF_seed=42_e=30_bs=256_lr=0$001_mffactors=128_drop=0_mftrain=True_mlptrain=True_m=8	EFD	0.7988278921427657
NeuMF_seed=42_e=30_bs=256_lr=0$001_mffactors=128_drop=0_mftrain=True_mlptrain=True_m=8	APLT	0.02933774834437086
NeuMF_seed=42_e=30_bs=256_lr=0$001_mffactors=128_drop=0_mftrain=True_mlptrain=True_m=8	ARP	1106.8416225165563
NeuMF_seed=42_e=30_bs=128_lr=0$001_mffactors=256_drop=0_mftrain=True_mlptrain=True_m=6	nDCG	0.06854477008980743
NeuMF_seed=42_e=30_bs=128_lr=0$001_mffactors=256_drop=0_mftrain=True_mlptrain=True_m=6	Recall	0.04825159748020306
NeuMF_seed=42_e=30_bs=128_lr=0$001_mffactors=256_drop=0_mftrain=True_mlptrain=True_m=6	Precision	0.08120860927152318
NeuMF_seed=42_e=30_bs=128_lr=0$001_mffactors=256_drop=0_mftrain=True_mlptrain=True_m=6	Gini	0.12178528226444862
NeuMF_seed=42_e=30_bs=128_lr=0$001_mffactors=256_drop=0_mftrain=True_mlptrain=True_m=6	ItemCoverage	1524.0
NeuMF_seed=42_e=30_bs=128_lr=0$001_mffactors=256_drop=0_mftrain=True_mlptrain=True_m=6	EPC	0.06759197073117681
NeuMF_seed=42_e=30_bs=128_lr=0$001_mffactors=256_drop=0_mftrain=True_mlptrain=True_m=6	EFD	0.77556664809203
NeuMF_seed=42_e=30_bs=128_lr=0$001_mffactors=256_drop=0_mftrain=True_mlptrain=True_m=6	APLT	0.04283112582781458
NeuMF_seed=42_e=30_bs=128_lr=0$001_mffactors=256_drop=0_mftrain=True_mlptrain=True_m=6	ARP	1075.7770529801326
NeuMF_seed=42_e=30_bs=64_lr=0$001_mffactors=256_drop=0_mftrain=True_mlptrain=True_m=8	nDCG	0.06899639022895389
NeuMF_seed=42_e=30_bs=64_lr=0$001_mffactors=256_drop=0_mftrain=True_mlptrain=True_m=8	Recall	0.04673363131257062
NeuMF_seed=42_e=30_bs=64_lr=0$001_mffactors=256_drop=0_mftrain=True_mlptrain=True_m=8	Precision	0.08225165562913908
NeuMF_seed=42_e=30_bs=64_lr=0$001_mffactors=256_drop=0_mftrain=True_mlptrain=True_m=8	Gini	0.0987372357696118
NeuMF_seed=42_e=30_bs=64_lr=0$001_mffactors=256_drop=0_mftrain=True_mlptrain=True_m=8	ItemCoverage	1382.0
NeuMF_seed=42_e=30_bs=64_lr=0$001_mffactors=256_drop=0_mftrain=True_mlptrain=True_m=8	EPC	0.06784174046174649
NeuMF_seed=42_e=30_bs=64_lr=0$001_mffactors=256_drop=0_mftrain=True_mlptrain=True_m=8	EFD	0.780366951174872
NeuMF_seed=42_e=30_bs=64_lr=0$001_mffactors=256_drop=0_mftrain=True_mlptrain=True_m=8	APLT	0.03216887417218543
NeuMF_seed=42_e=30_bs=64_lr=0$001_mffactors=256_drop=0_mftrain=True_mlptrain=True_m=8	ARP	1159.4500993377483
