model	nDCG	Recall	Precision	Gini	ItemCoverage	EPC	EFD	APLT	ARP
RP3beta_neighborhood=152_alpha=0$1748173880494721_beta=1$274672956303527_normalize_similarity=False	0.00015868550573435757	0.0001575761465323795	0.0004635761589403973	0.018794509876775334	377.0	0.0004091082995153886	0.00751384626830956	1.0	1.295844370860927
RP3beta_neighborhood=603_alpha=0$6585257100433048_beta=1$7127441306839584_normalize_similarity=True	8.951355305911601e-05	5.428538562119599e-05	0.00028145695364238416	0.02025568571651748	286.0	0.0003280524169353507	0.006274545103036659	1.0	1.048841059602649
RP3beta_neighborhood=538_alpha=1$2017686210755094_beta=1$27549818610266_normalize_similarity=True	0.00012571834340271613	0.0001008858248981325	0.00028145695364238416	0.023198905606444886	388.0	0.0002441989183266552	0.00441812306056372	1.0	1.4276821192052982
RP3beta_neighborhood=145_alpha=0$041871285935235036_beta=1$0417890713342899_normalize_similarity=True	0.001179663311804578	0.0015128393762509932	0.002582781456953642	0.03759803414491014	843.0	0.002154945741667933	0.03214024818560059	1.0	6.112665562913907
RP3beta_neighborhood=794_alpha=1$9614354342634197_beta=0$9569177716679433_normalize_similarity=False	0.0022477432233939778	0.0017541182154630155	0.0036920529801324512	0.17876707614944032	2327.0	0.0031254613718893283	0.04242282925962248	0.9635927152317881	33.439718543046354
RP3beta_neighborhood=350_alpha=1$492200236256618_beta=0$40357825944751835_normalize_similarity=False	0.02535526626051336	0.018955794289479907	0.034519867549668876	0.2442943863775019	2388.0	0.03097449738226182	0.36055998412740586	0.4201158940397351	316.8944205298013
RP3beta_neighborhood=863_alpha=1$6027127085391475_beta=1$866000341826784_normalize_similarity=True	9.821954156485994e-05	7.875951440141549e-05	0.00023178807947019865	0.017524156246635503	300.0	0.00020890082481602435	0.0038927806155442256	1.0	1.221324503311258
RP3beta_neighborhood=496_alpha=0$44477903655656115_beta=0$5968193614337285_normalize_similarity=True	0.08648137334983821	0.05143783717390847	0.09584437086092716	0.058229864868573844	1050.0	0.07633808531248058	0.8813940311754469	0.01566225165562914	1297.8351490066227
RP3beta_neighborhood=137_alpha=1$9688014959939781_beta=0$22290825093487943_normalize_similarity=True	0.07229136640174945	0.04231560937415734	0.08206953642384106	0.06038936048487731	957.0	0.06468851296498195	0.7534621088193765	0.04715231788079471	1194.2965728476822
RP3beta_neighborhood=479_alpha=0$890302470562176_beta=0$9703151266522991_normalize_similarity=True	0.003879992672832557	0.004271363966889187	0.0055794701986754975	0.0605739866198568	1232.0	0.003952406881280643	0.050365445665801145	0.9249668874172186	52.74167218543047
RP3beta_neighborhood=593_alpha=1$5093628355049231_beta=0$2589280864787509_normalize_similarity=False	0.043016524282245484	0.02811974474072884	0.053427152317880804	0.1642384528180001	1987.0	0.04707756255011137	0.5339150560365807	0.18192052980132453	589.2767715231788
RP3beta_neighborhood=386_alpha=1$3164191024386838_beta=0$9795553011672764_normalize_similarity=True	0.0022623474385186746	0.0023280065248536177	0.003228476821192053	0.03866906839326356	917.0	0.0021649291316749694	0.028876887011519196	0.9702980132450331	29.015629139072846
RP3beta_neighborhood=498_alpha=0$5252976910544345_beta=1$3331965053112624_normalize_similarity=False	0.00011289250197914823	5.762134371132642e-05	0.0002980132450331126	0.02051150865444884	275.0	0.00036119605757136894	0.006885554385128384	1.0	1.089023178807947
RP3beta_neighborhood=803_alpha=0$45173389278169385_beta=0$18291155770623035_normalize_similarity=True	0.09208610792284047	0.051872704651990224	0.10216887417218544	0.01814964311876821	388.0	0.07493187489390042	0.8942638651357534	0.0003807947019867549	1746.7728642384106
RP3beta_neighborhood=359_alpha=1$5897865517894323_beta=0$22157131490087156_normalize_similarity=True	0.08304996908453788	0.04595199940164989	0.09195364238410597	0.03254926776542311	631.0	0.0695647201684774	0.8211984691580272	0.00490066225165563	1499.653013245033
RP3beta_neighborhood=108_alpha=1$7064374496694794_beta=0$6170840765435743_normalize_similarity=True	0.05893987722617984	0.035956291183833915	0.06716887417218542	0.08713838462951284	1257.0	0.05193959744482567	0.6108567119604144	0.23822847682119208	950.3893046357616
RP3beta_neighborhood=97_alpha=0$7560956761393509_beta=0$33526461259666007_normalize_similarity=False	0.08539855338291442	0.04872474128353255	0.09463576158940398	0.033732728573931614	604.0	0.07180526359934326	0.8450316089072115	0.003145695364238411	1507.359652317881
RP3beta_neighborhood=405_alpha=0$2463680926033991_beta=1$982139594783055_normalize_similarity=True	0.00010825386485614942	6.295240912398068e-05	0.00033112582781456954	0.016228374432905923	245.0	0.00038760341644111747	0.007413556471465271	1.0	1.014685430463576
RP3beta_neighborhood=778_alpha=1$9322074458641305_beta=0$7847133548675806_normalize_similarity=False	0.004582769552927664	0.004078090721097809	0.007268211920529803	0.23924639054903318	2544.0	0.005963622051434549	0.07658031320508217	0.892135761589404	74.0916059602649
RP3beta_neighborhood=614_alpha=1$2996344569530678_beta=1$522378010152027_normalize_similarity=True	0.00010286604726231383	8.052082199617384e-05	0.00024834437086092715	0.020207742665515283	329.0	0.0002113500362303072	0.003927162357654392	1.0	1.2614403973509933
