model	nDCG	Recall	Precision	Gini	ItemCoverage	EPC	EFD	APLT	ARP
UserKNN_nn=457_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.0843805968512834	0.05028064843366427	0.09447019867549669	0.04418784978266266	658.0	0.07239143939721572	0.847312554506543	0.0027649006622516557	1387.6197185430462
UserKNN_nn=413_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.08395382262333641	0.05026831125149184	0.09369205298013246	0.04635839700055133	681.0	0.07221408022007467	0.8439288524919499	0.003178807947019868	1368.964950331126
UserKNN_nn=838_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.08891923026968389	0.05198998902474159	0.09855960264900661	0.03208579716141646	521.0	0.07367006819821366	0.870831429057461	0.0012251655629139074	1511.334652317881
UserKNN_nn=447_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.08434122581064611	0.05035028260245035	0.09430463576158939	0.04477365855512161	663.0	0.07240956613068966	0.8472953811164384	0.00283112582781457	1382.8656953642383
UserKNN_nn=813_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.0888441377495839	0.051991455334668236	0.09850993377483444	0.032683491419439714	532.0	0.07377843396407507	0.8715379191005739	0.0012086092715231788	1504.2058278145694
UserKNN_nn=800_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.0885414733872772	0.05169471285417301	0.09827814569536424	0.03298003745089051	531.0	0.07370560036284483	0.870268922043136	0.001208609271523179	1500.511821192053
UserKNN_nn=735_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.08820036669313319	0.05201905468261845	0.09849337748344372	0.03455045209178231	545.0	0.07391460893591273	0.8713506992371612	0.0012748344370860927	1482.4241059602653
UserKNN_nn=618_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.08679894693922441	0.051477430900957445	0.09680463576158942	0.03806549472541987	591.0	0.07323966346865347	0.8609503189381605	0.00173841059602649	1444.9774834437087
UserKNN_nn=545_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.08558189448453128	0.050945991178242944	0.0959933774834437	0.0406769026804622	614.0	0.07278159213993751	0.8540044870549907	0.0021854304635761587	1419.715
UserKNN_nn=955_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.09009783789942825	0.05254164306879498	0.099817880794702	0.029609911186078475	498.0	0.07405132370816561	0.8777433926650564	0.0008443708609271523	1542.0698509933775
UserKNN_nn=8_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.049269538611474165	0.028187266055294292	0.05786423841059603	0.17901894077734937	2200.0	0.04939930772316771	0.5661237467394764	0.21367549668874175	740.6987251655629
UserKNN_nn=879_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.08943017301317017	0.05226772209202978	0.09918874172185431	0.031200814039650804	512.0	0.07395019486694059	0.8751176309938179	0.0010596026490066225	1522.0164735099338
UserKNN_nn=882_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.08945328030986933	0.05228782274353992	0.09933774834437085	0.03113798774296106	510.0	0.07397056304781147	0.8754147146954593	0.0010596026490066225	1522.6471026490067
UserKNN_nn=529_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.08501716031926257	0.05056835631305483	0.09519867549668874	0.041209501210715094	626.0	0.07240740033265348	0.8493293214898356	0.002317880794701987	1414.8407615894039
UserKNN_nn=638_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.08720500435217624	0.05186080322692431	0.0972516556291391	0.0374303601323237	579.0	0.07349316134994631	0.8645082406680176	0.0017052980132450332	1451.5825165562912
