model	nDCG	Gini	EPC
UserKNN_nn=8_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.0492695386114741	0.1790189407773493	0.0493993077231677
UserKNN_nn=291_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.0821012401805266	0.0541887786660812	0.0715401976139527
UserKNN_nn=400_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.0840603496552369	0.0470335369136163	0.0723717293601819
UserKNN_nn=447_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.0843412258106461	0.0447736585551216	0.0724095661306896
UserKNN_nn=457_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.0843805968512834	0.0441878497826626	0.0723914393972157
UserKNN_nn=518_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.0851739024202974	0.0416459391961365	0.07251232438333
UserKNN_nn=545_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.0855818944845312	0.0406769026804622	0.0727815921399375
UserKNN_nn=638_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.0872050043521762	0.0374303601323237	0.0734931613499463
UserKNN_nn=618_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.0867989469392244	0.0380654947254198	0.0732396634686534
UserKNN_nn=585_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.0859587871816594	0.0392244667892515	0.0728578312094731
UserKNN_nn=693_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.0880732622845782	0.035715958006025	0.0740065873763688
UserKNN_nn=735_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.0882003666931331	0.0345504520917823	0.0739146089359127
UserKNN_nn=813_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.0888441377495839	0.0326834914194397	0.073778433964075
UserKNN_nn=800_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.0885414733872772	0.0329800374508905	0.0737056003628448
UserKNN_nn=838_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.0889192302696838	0.0320857971614164	0.0736700681982136
UserKNN_nn=879_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.0894301730131701	0.0312008140396508	0.0739501948669405
UserKNN_nn=882_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.0894532803098693	0.031137987742961	0.0739705630478114
UserKNN_nn=955_sim=cosine_imp=standard_bin=False_shrink=0_norm=True_asymalpha=_tvalpha=_tvbeta=_rweights=	0.0900978378994282	0.0296099111860784	0.0740513237081656
