,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,1829,1980,2629,1442,3539,2977,2407,4889,3179,223,4077,99,1554,1103,1416,765,5712,839,4199,588,638,3764,5469,4175,5218,714,3883,3212,2864,3751,4647,4125,4043,332,3997,437,2189,653,2985,2204,1240,369,4896,2670,284,1110,1226,1119,2322,1405
1,3240,3606,4366,3012,3789,4965,4313,1639,2592,4134,2427,4488,5407,4847,4510,5198,1925,3268,3160,4800,2967,4135,2874,5405,4734,4013,2875,4825,3247,1559,2912,3070,4819,4083,407,1998,3886,4769,4821,4284,5431,5399,3272,3362,3404,3990,1332,4778,198,5406
2,3240,3606,3012,4366,3789,4965,2592,4134,1639,4313,2427,5407,4847,4135,3160,3268,1925,4488,4510,2967,5405,4800,5198,1616,2874,1559,2875,3247,103,4013,4136,3070,1998,4821,5406,3404,4819,1332,4734,4825,90,2148,407,4778,3990,3362,3265,2912,4658,5431
3,3240,3606,3012,4965,4366,2592,3789,4313,4134,1639,4847,4488,2427,3268,1925,5407,5198,4800,4510,2967,3160,4135,1559,4013,4734,2874,5405,3247,4819,3070,3404,1998,1332,4825,1616,407,4821,2912,4083,5431,3362,3990,5406,3178,4769,4284,4778,3272,2148,739
4,1829,4337,1442,5712,2407,454,3470,1230,1416,43,3497,839,4541,4073,2204,2247,1633,1058,606,4028,4901,1117,1214,398,4125,2413,630,984,1110,638,221,2205,4445,1179,4138,60,591,236,3905,2966,3472,2283,4354,1087,4077,1500,1507,3586,3309,3994
5,3240,3012,4965,3606,4313,3789,2592,4134,1639,5407,4488,2427,4847,4800,4510,3160,5198,4135,1925,2967,3268,1559,5405,4734,2874,4083,3070,3247,3886,4825,4819,4769,4013,407,2875,204,3362,5399,5431,1998,2912,3178,3990,4284,3404,91,3265,1616,739,3272
6,3240,3606,3012,2592,4965,4366,4313,3789,4134,1639,4847,3404,4510,2427,4488,5407,1925,5198,3268,2967,4135,5405,3160,4734,3247,1559,4013,4800,1998,2874,4819,2875,4825,3070,1332,3272,2532,5431,2912,5406,407,5399,3990,4083,3265,4284,4821,4144,3362,90
7,223,56,2189,284,647,4997,1103,1416,5469,4364,2985,5630,5607,2714,3025,2629,4092,765,1119,5038,4545,4141,588,1226,3980,5134,1980,5651,653,3801,2268,414,5730,3895,3105,476,2344,4288,4631,2715,4889,2618,3622,4896,3995,3563,2126,99,714,1942
8,3606,3012,4366,3789,4965,2592,1639,4313,4134,4488,4847,5198,4510,1925,5407,3160,3268,2967,4135,2874,4013,5405,4734,3247,1559,2875,2912,4825,4819,1998,407,3070,3404,1332,4821,4284,5431,3886,3362,3990,4769,2532,198,4835,5406,4576,5399,1616,90,3045
9,223,4647,5607,2189,3895,4092,647,5469,2629,3209,1226,4631,4021,4364,332,4010,56,414,284,5579,2985,2714,653,2603,2344,2618,4175,1980,3105,3995,476,1942,5730,4889,2010,4056,5728,3740,3549,3927,1014,2715,972,367,5516,4325,330,4400,2230,18
10,3567,4885,3764,3801,1103,3709,3179,1442,3539,1829,4647,647,3622,2977,1864,1416,2110,705,4997,3076,2502,5815,3674,4623,2192,1287,2299,4043,4896,5218,3201,765,4636,4077,2629,4286,4247,223,99,332,3980,1111,1980,839,208,4889,1554,1119,5136,437
11,3240,3012,3606,4366,3789,4965,4313,2592,1639,4488,4134,2427,5198,5407,4510,4847,3160,4800,1925,3268,2874,4135,5405,2967,3247,1559,4013,4083,4734,4825,2875,2912,5642,407,4819,1998,4769,3070,4284,1332,198,5431,4821,3990,3272,3362,4835,554,3265,408
12,3240,3606,3012,4366,3789,4965,2592,4313,1639,4134,4847,4510,5198,1925,5407,3268,4800,3160,2967,4135,2874,5405,4734,4013,3247,1559,4825,2875,2912,4819,3070,4083,1998,407,4769,5431,4284,3886,1332,4821,3990,3404,3272,3362,5642,5399,5406,198,2532,4835
13,3240,3012,4366,3606,4965,2592,3789,4313,4134,1639,4488,2427,4847,5198,4800,5407,3268,1925,3160,2967,4510,1559,4135,4734,4013,3247,5405,2874,4819,4083,3070,4825,1998,2912,407,1332,2875,5431,3362,3404,4769,3990,739,3886,204,1616,4284,4821,198,5642
14,223,2189,284,5469,2629,647,4364,5607,56,1226,2985,1980,588,2618,2670,653,4141,3995,4631,414,5630,3105,2714,4175,99,4092,5730,3801,4545,1240,3025,476,5651,4578,369,2919,5728,3549,4997,714,4889,2126,332,1103,1119,2344,5788,2230,18,3563
15,3240,3606,3012,4366,3789,4965,2592,4313,1639,4134,2427,4488,4847,5198,1925,4510,5407,3268,3160,2967,4135,4800,2874,5405,4734,4013,3247,1559,2875,4825,2912,4819,4083,1998,407,3404,3070,5431,4284,1332,3272,4769,5399,4821,3990,3362,2532,3886,739,4576
16,3240,3606,4366,3012,4313,3789,4965,1639,2592,4134,2427,4847,4488,4510,5198,5407,1925,3160,4135,5405,2967,3268,4800,3247,4734,2874,4013,4825,1559,3404,2912,4083,1998,407,4819,5431,4284,3272,3070,1332,4769,2532,5399,3886,3990,3265,3362,4835,739,1191
17,3240,2592,3606,4965,3789,4366,4313,4134,3012,1639,5407,2427,4847,1925,4488,3268,2967,5198,4734,5405,4135,4800,4510,2874,5399,981,3160,2875,4825,104,4013,3070,4769,3178,1191,5406,5431,4658,4083,1559,204,4819,3272,3990,3404,3265,407,739,2912,3362
18,3240,3606,3789,3012,4965,2592,4313,1639,4366,4134,4847,2427,4488,4510,1925,3268,5198,5407,2967,2874,4135,4800,3160,5405,4734,4013,4825,1559,2875,3247,2912,4819,3070,1998,3404,5406,4769,3990,4821,5431,1332,407,4284,4083,3272,2532,5399,3265,4576,4144
19,223,2189,647,2629,1226,5469,4364,332,5730,2603,4077,4092,5607,1980,4647,284,2618,4889,4175,653,99,4631,4885,2344,369,2985,330,2919,3801,4141,3895,1240,2714,5728,18,714,2230,476,3539,3212,5651,1119,3980,1829,3105,2670,414,2715,588,2126
20,3240,3012,4366,3789,2592,4965,4313,1639,4134,2427,4488,4847,4510,5198,1925,3268,5407,2967,3160,4800,4135,4734,4013,5405,2874,3247,1559,2875,4825,4819,2912,3404,3070,4083,1998,407,3272,5431,3990,1332,4284,2532,4821,5399,4769,5406,4576,3886,3362,198
21,4366,3012,3606,3240,3789,1639,4313,4965,2427,4488,4134,3160,2592,5407,4135,4510,4847,5198,2874,3886,1925,4800,3268,2967,5405,3247,4825,1559,2912,2875,4013,4083,4734,407,5642,1616,4284,4819,4769,103,1998,3070,5431,3362,554,3990,1332,4821,198,90
22,3606,3012,4366,3789,4965,2592,4313,1639,4134,4847,4488,2427,4510,5198,1925,3268,2967,5407,3160,4800,4135,4734,2874,5405,4013,3247,1559,4819,4825,2875,3070,2912,3404,1998,4083,407,5431,3990,1332,4769,3272,4821,4284,2532,3362,5399,5406,3886,4835,4576
23,2407,4647,2110,2192,3539,1442,3764,1416,4889,1980,1554,1103,765,3179,4077,3567,332,638,3801,4175,2629,3076,223,714,4636,2498,647,709,5136,4997,3622,99,4010,2348,3709,5730,3674,5218,5712,2189,3212,330,2322,5469,3997,5728,3285,3883,588,3646
24,3606,3012,4366,4965,3789,4313,4134,1639,4847,4488,2427,5198,5407,3268,1925,2967,4800,3160,4135,1559,4013,4734,5405,3247,3404,2874,4819,3070,1998,2875,4825,4083,1332,2912,407,5431,3990,4821,3272,5406,3362,4769,4284,4835,2532,3187,5399,3178,739,3265
25,3240,3606,1639,4366,3789,2592,2427,4313,4134,3012,1925,4847,4510,4488,2967,5198,4135,3160,5405,4965,3268,2875,2874,4825,4734,4013,5399,2912,3247,4800,3272,981,2532,1191,5431,4083,4284,4576,3886,3070,407,4769,1998,3404,3990,5406,3265,3045,1193,4819
26,3854,3261,981,3845,4623,2627,1762,3036,3548,2592,5133,3240,3789,1287,1506,3606,2967,1875,705,4112,1639,4134,1925,3268,3764,3567,3555,2502,4658,2031,4138,3076,2343,3858,1442,2427,2874,1913,4847,2532,5405,4825,660,4510,104,4734,4488,143,1414,5406
27,3240,3606,3012,4366,2592,3789,4965,4313,1639,4134,4847,4510,2427,4488,2967,1925,5198,3268,4135,3160,5407,3247,5405,3404,4734,4800,4013,1559,2874,4825,4819,2875,2532,1998,3070,2912,3272,5431,5399,407,4284,3990,4083,1332,90,5406,4733,3362,4821,3045
28,3240,3606,3012,4366,3789,1639,2592,4965,4313,2427,4134,4488,5198,4510,4847,1925,5407,3160,3268,2967,4800,4135,2874,4734,4013,5405,3247,2875,4825,2912,4083,4819,3070,3886,1998,407,4284,3272,5431,4769,4821,198,5399,4576,3990,2532,3362,1332,4835,3404
29,3240,4366,3606,981,2592,3789,2967,4965,4134,3012,4313,4073,1639,4847,4135,3268,2427,1925,4488,3160,4734,5407,4800,4510,4658,5399,5405,2148,3247,104,3858,3070,5198,1559,4164,4819,4825,204,2874,4623,5431,3178,3990,3362,4013,1500,90,1616,3404,2532
30,3240,3606,4366,3789,3012,4965,1639,4134,2427,2592,2967,4847,4488,5407,1925,4135,4510,3160,3268,4800,5198,2874,5405,4734,4825,5399,2875,3247,2912,5431,3070,4769,4819,1559,4013,4284,407,3362,2148,3886,3990,1998,3045,4778,90,3178,3272,3265,1616,4083
