,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,522,1958,2692,256,2501,2788,584,846,452,1179,1655,1191,292,1080,48,1022,1249,2326,1219,1178,1891,147,1270,1671,1181,2254,1286,585,1195,3683,1194,769,1188,1202,603,45,899,1930,723,739,2734,1221,910,1898,1336,1084,1211,1627,895,2846
1,1177,314,1191,2501,1958,846,107,1270,584,1022,1181,1249,3044,2788,1365,2734,3351,2692,452,1195,2646,1567,2721,2848,1080,1244,475,3601,3508,1372,1847,1219,2558,1202,1930,45,1532,1352,3077,375,1538,3723,1073,1884,585,1267,1062,1131,1201,292
2,846,1177,1958,1191,1195,1022,1202,2501,1181,584,1270,107,1178,452,536,1249,1119,1080,1283,2788,1883,1567,3401,1214,1352,1930,1201,1200,1221,2124,1182,2927,603,1189,48,899,2459,588,2874,1231,1203,1266,1213,292,3351,1255,2326,1073,1949,2878
3,2788,292,603,1574,314,2889,256,219,1958,846,1177,2622,522,1131,536,1372,2692,30,2326,588,739,3826,1191,1178,3044,3411,1180,3090,1202,734,911,1175,1195,289,3681,2254,2838,899,1119,1423,1179,1267,45,2472,1181,2529,32,1626,895,1336
4,906,1014,2326,590,886,2011,2788,359,3508,907,2692,1178,1358,585,522,351,1671,534,1286,314,1958,107,1080,1008,899,1261,2495,452,1226,2026,9,1191,2010,589,1655,1997,2601,583,588,582,3475,3479,1084,1177,887,940,37,3077,3605,891
5,1958,256,1179,584,452,1022,1191,475,1270,1195,588,3508,1930,2692,1219,1181,846,769,351,1538,314,372,2124,1348,1565,1884,1178,2788,2198,1084,162,48,2558,45,3683,585,1532,4,1542,641,2877,2693,1221,1334,147,8,1384,1110,1988,536
6,314,522,588,2692,48,2501,107,1574,1177,256,846,2927,351,1175,2889,1072,1336,1191,1181,2254,3508,452,1202,1189,536,45,1179,289,1219,1567,3411,1286,1178,1187,219,15,585,3044,1195,1853,2285,2198,1372,1249,2846,769,3683,1196,2472,3090
7,2788,48,588,2692,1655,292,107,603,1177,256,1179,351,1194,1574,584,1191,1178,846,30,2927,1336,1219,1567,2889,1175,3508,1244,3044,1045,1072,536,147,2326,2734,2848,1181,1249,219,1119,1022,1080,1221,289,1203,1206,475,1481,1270,3077,723
8,1249,314,1191,1080,1958,522,584,3044,107,1270,2788,1119,1352,1021,2848,1671,583,2927,886,2646,452,588,592,3077,15,2721,1195,846,2558,2010,940,48,1110,899,32,1022,911,1898,2285,1334,475,1180,3351,734,292,359,352,1267,1214,1238
9,292,522,1194,1574,1958,2927,45,846,107,1175,2254,1853,256,219,3077,3508,2326,1045,452,1178,1177,1119,3044,1682,2501,32,2325,1286,2636,1372,1249,1179,1898,2472,289,1244,1225,2198,1191,3090,2721,2646,147,1238,550,767,585,3826,1202,1481
10,256,1177,899,1175,1958,603,292,588,910,1194,1119,739,522,1178,1365,1185,1189,1080,48,1206,1255,1574,1249,1231,2788,891,1949,895,1883,1226,1372,314,1884,1191,1270,107,3351,1209,1057,1214,1219,1882,1022,584,1181,1195,2848,536,1188,1187
11,256,1958,846,107,1191,2788,1219,314,1202,1195,1178,584,48,1270,2692,1022,1249,1181,603,452,1175,292,1206,1365,1221,1283,536,1574,906,1352,1194,1655,1251,891,1229,890,899,1336,1241,956,1949,45,886,739,2558,1884,1567,1883,1255,2965
12,2788,314,588,522,1958,48,2889,2326,603,846,1175,1574,1177,3044,1202,1194,219,1189,2501,2254,256,1072,1179,2622,45,107,3411,3508,351,3826,899,1191,3338,739,1245,3473,2285,2266,108,2325,1655,2936,2529,1073,3077,1206,1229,1278,2646,3090
13,1958,3508,2788,2692,522,314,351,588,2501,1177,1179,475,452,3077,584,1671,1191,585,256,1221,1567,1022,1655,1270,3044,3338,3485,3553,846,3723,3845,3826,1178,1249,48,641,1884,1384,1195,1538,1181,3685,2848,2646,1238,2558,769,3105,3186,1725
14,2692,3044,2788,2613,2326,1178,2927,1131,2917,583,590,3681,256,3338,2266,3105,359,32,2501,2622,1177,584,3508,3723,2693,603,2630,2838,1191,351,2700,372,2325,2691,475,3553,2646,906,2889,3089,546,452,1181,1077,1206,1204,1567,2636,2617,2624
15,536,2501,1181,522,1179,846,603,107,1191,739,1180,3401,1249,1352,1194,2927,1178,2326,1080,1202,1655,1231,2898,1542,1365,1022,45,3044,910,3632,1119,2889,2459,3457,1131,3508,1072,1189,475,2218,1490,108,3090,1336,1270,2254,1949,1110,899,3077
16,256,1178,2501,314,846,1181,107,1249,3044,2326,2692,1057,588,536,1022,1014,1206,1195,48,1352,2927,2011,603,3508,1567,2889,32,452,15,2254,1175,1365,2734,1202,1131,546,1119,2646,475,219,899,2010,2070,2917,2727,1221,1203,1286,2026,1884
17,1179,256,2501,1177,1191,584,1178,2927,1195,107,1958,314,1219,1270,3508,452,1181,1930,292,1538,2646,522,48,3044,2326,846,1567,1574,475,1131,375,2734,603,372,1119,351,1927,2630,2613,2877,3077,2636,1532,3351,2325,1203,1175,1672,3723,2846
18,2788,1958,48,314,2692,1177,256,588,1179,603,292,584,522,452,1191,1178,1194,846,1181,1072,1270,3077,1022,351,536,1195,2889,3683,3826,1655,30,1567,3723,4,1219,1221,2326,2927,1202,2820,2472,1365,1384,1231,475,2622,585,1538,2529,2646
19,256,2501,1177,1179,2692,1178,2927,3044,2889,2788,536,1181,1119,2646,1958,584,107,292,48,1352,2622,219,734,1270,1219,1249,2917,3723,2558,1195,1022,30,475,3508,1080,2636,1853,730,1949,2325,1187,2613,1131,2982,452,1567,2848,1267,1180,710
20,522,1949,1235,2788,1177,256,846,588,1178,292,48,1202,892,885,899,2960,910,1188,3411,19,1184,956,2230,3002,1181,1119,2692,2501,1958,107,2721,2927,2734,1191,1267,1574,2848,1336,1194,1257,351,1062,1175,1655,2889,2646,3077,452,1179,3482
21,2501,1177,1179,1181,584,1195,536,1191,1178,1352,2788,1958,1365,1249,911,107,48,1270,1080,452,3457,2889,1196,1334,1542,1354,1180,1187,588,30,1202,3632,603,1072,1538,2692,1175,1567,3633,2459,1254,769,1574,1203,2558,3105,1884,2326,1930,2035
22,846,314,2788,588,292,1177,1574,1178,107,910,108,1119,1226,1189,1206,351,739,1249,2692,907,1191,1238,2848,895,1655,1188,1080,2326,1372,1229,2254,1072,3351,1073,1231,891,2501,1365,900,1185,2721,1225,1022,584,2927,1203,1209,1255,1882,1062
23,2501,584,107,1178,1270,2692,1181,3508,2788,1219,1080,452,1195,3044,1022,3723,1334,314,769,3105,351,846,522,2326,588,536,2630,475,1538,1542,1354,2285,1110,2927,2889,1490,1221,723,359,48,1196,147,3077,1481,1365,1374,324,1655,2045,2848
24,2788,314,2692,292,522,1958,2326,107,2501,1178,1249,1244,2198,1286,3077,1853,588,3291,592,2927,1671,147,1225,1045,1191,1542,3351,1891,2636,352,603,2266,1336,2558,2848,2178,2734,2889,256,1898,2845,1175,45,3078,48,584,452,585,1062,2846
25,739,891,1175,1202,897,3365,956,890,1226,906,1949,909,1263,1193,1210,603,1574,1200,1875,256,1189,886,1235,108,3025,1087,1255,522,2230,911,1958,1214,907,1239,1248,1187,3237,940,1283,915,536,1257,3398,3126,1206,2133,3392,929,903,3019
26,846,256,314,1958,107,1119,1191,910,1175,895,891,2501,2734,1231,1226,739,603,1249,906,900,1574,2788,1181,1219,2254,536,1365,1188,890,897,584,1286,588,1210,1372,1062,2721,1202,1193,1270,292,911,907,1246,1238,3365,1875,940,1022,886
27,1177,1958,1195,1191,1181,584,2501,1270,522,588,1178,1352,1202,1249,536,1080,452,3401,1182,911,1283,2788,292,1884,1567,739,1930,2877,1203,2692,1175,475,603,1189,1221,1119,2124,1229,1232,1883,351,3351,1574,3633,1251,1194,1185,2218,3508,2846
28,314,2788,1958,603,292,846,1574,2692,1194,2927,1655,107,2254,910,1336,1175,1072,1206,302,256,45,1179,1087,1177,2838,1682,1155,891,351,899,739,1200,1158,1217,3839,2326,1202,261,1027,1875,30,2259,108,1245,3878,2287,1077,1223,2889,1279
29,1179,1177,314,256,899,1257,1273,1119,2721,3601,3351,1062,886,2326,895,906,885,2501,956,1283,1201,1191,1022,107,1958,1930,900,3482,1270,891,3293,938,3044,1372,2734,907,584,2727,903,2230,898,901,1238,1080,1235,1853,1219,2692,890,2965
30,588,314,2326,2788,107,48,2501,292,256,1958,2927,522,1177,1286,351,899,15,1178,3508,584,45,2889,1574,1655,906,1155,1244,1950,1215,1210,1272,452,492,2254,1179,889,352,907,1170,3291,1627,585,1165,2289,536,1062,3411,1671,1248,1594
31,1958,588,1195,107,522,1365,452,1022,1219,1202,584,292,2501,1181,2788,603,2692,1080,48,1884,1249,1189,739,1226,1178,899,2124,1574,585,1203,906,911,1231,351,1273,1352,2734,891,1187,536,3401,1251,1283,1072,1229,1655,2878,910,723,907
32,522,256,1179,1244,2326,2734,588,1191,1238,1655,2788,107,2692,292,1958,3351,2646,1270,1119,1372,3044,3077,1062,3140,1045,1853,1225,1219,2011,3482,2501,1336,534,352,1022,1236,2636,2301,906,3456,2198,584,37,219,3601,1201,2104,452,1891,603
33,846,910,739,1231,895,1175,891,906,108,256,1229,1202,522,911,1875,1210,1188,900,1273,1255,1200,1193,1283,292,1185,314,603,897,1179,886,3025,907,3019,890,1246,1882,1087,1189,2927,3064,3398,1997,3365,1067,1235,885,2692,1278,1372,909
34,1179,2788,1177,2501,1958,107,588,314,48,1191,1574,1219,1178,1022,1194,1202,1270,2646,1244,2326,2927,1567,1175,2848,1286,1119,475,45,2285,1542,1080,2889,1352,1072,219,1372,1267,911,3351,1210,2734,1195,3723,1283,1853,1655,1221,739,1273,1206
35,2326,351,1244,534,592,15,1179,1177,314,9,256,1249,906,899,1671,907,37,107,3044,1371,590,903,2011,1021,901,2354,1206,359,2254,1358,2734,1191,885,435,2055,1225,584,3508,372,1188,5,2848,902,1165,1014,2178,1725,3681,334,895
36,314,522,2788,588,1178,2692,1244,351,15,1958,32,292,48,107,1725,1594,1891,1336,2289,2927,1671,1238,34,1574,1853,56,2266,585,1542,261,3078,2838,1225,1194,1206,2601,3826,147,534,492,1045,2848,256,1077,1950,1027,592,3291,1335,2198
37,292,2692,48,603,1574,1177,1194,522,2630,1958,2622,256,1178,588,3090,3411,2285,3508,1072,846,3826,1244,2848,45,1267,2636,2254,2501,1853,1119,1372,30,2613,1179,1131,1655,2917,107,2472,2838,1191,1481,1249,2734,2642,2266,767,289,2259,1203
38,256,846,1202,1958,1191,1177,900,1080,1178,739,891,1219,1229,910,1231,522,1241,1195,107,1189,907,895,886,1365,3025,1266,1188,1352,1249,1232,1883,1181,1875,1022,1273,1213,911,1175,1255,1997,1021,897,1949,590,1283,1226,2594,1246,1184,3293
39,2501,1179,1958,107,1178,584,1249,1181,536,1270,1080,1352,1219,1195,3508,846,1022,2646,2788,3044,2326,475,1119,351,452,901,1671,588,2889,314,1334,1655,359,1365,1877,1014,48,3105,2285,585,590,3683,522,1481,3338,1567,1021,1071,292,3723
40,2501,584,1958,1249,107,846,1178,2692,1080,1022,1270,452,1202,314,1334,1180,30,1232,1354,3044,739,3457,1187,3632,1567,2646,1490,522,3508,3633,1538,1119,2898,1951,2846,2915,1606,312,1280,769,1201,1175,1350,1254,3723,2721,2326,2458,1189,1671
41,2501,314,256,2788,3044,1958,522,588,3508,1244,1191,1179,1177,107,2285,1655,292,2636,2254,1249,1574,2646,1671,2889,45,2613,2848,3077,452,48,1853,907,900,2630,2838,1062,2935,3553,2927,2917,3683,3338,1110,2691,1119,2178,906,2693,219,2535
