,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,522,1179,1958,256,846,2692,292,2788,1655,48,1249,603,2501,1191,1022,1080,906,1178,584,2326,1219,585,1574,1202,452,1891,1286,1365,1194,1884,1221,147,1073,1195,2734,1244,1214,1270,1336,1930,2848,2646,2254,2124,3351,45,1671,940,1119,1181
1,1177,2501,1191,1958,846,314,292,107,1270,1219,48,584,2692,1022,1365,522,1181,2646,588,1249,452,2788,2848,3351,1201,351,1203,1195,2721,536,1244,1574,603,3044,1072,2734,3508,1567,1202,1372,475,1257,1080,1930,1221,1538,899,3601,1352,2326
2,1177,846,1195,1202,1022,1181,2501,1958,2788,1191,1119,48,536,292,522,739,584,588,1574,1178,1270,107,1189,1249,603,3401,1175,1200,899,1203,314,1080,1072,108,1194,1231,1187,1883,1214,452,906,1283,1201,1226,1238,1185,1221,2692,1182,1567
3,2788,292,603,1574,739,846,256,314,1177,899,588,1119,536,522,1178,1202,1372,1180,2692,2622,2889,1175,2326,1189,1267,1958,1179,1187,3090,911,2254,1231,767,910,2219,1063,108,1203,1181,30,3411,1257,895,219,289,1195,891,1206,3044,32
4,1014,906,2011,1358,590,351,2495,2026,2692,534,256,1249,359,907,1008,2326,1671,2010,1179,1286,9,886,522,1080,1958,1178,2601,589,582,588,314,2017,15,585,3508,1384,1997,2669,1177,2848,1392,3185,2324,1238,2727,3598,37,583,1015,2734
5,256,452,1179,584,1958,1022,1191,1219,475,314,351,1270,588,1930,2692,48,769,1181,372,3508,1365,846,292,2124,522,1195,1884,162,2198,1348,1538,45,1565,1574,3077,1201,3457,585,587,1203,2877,1249,1084,1238,1352,641,1490,1178,2646,1853
6,314,48,256,588,1177,2692,2501,522,1574,1179,107,846,2889,1072,1178,1202,1238,2927,45,351,1336,2254,1175,1181,1219,1191,3508,452,289,1187,2848,1189,1203,1119,2820,30,1022,1372,4,1853,1206,1195,536,1365,1249,1080,3044,767,1045,2721
7,2788,588,292,48,1177,2692,603,256,1179,1655,107,846,351,1574,1178,1072,1119,2326,584,2889,1194,2927,1244,1238,1336,30,2848,1022,3077,1203,3508,1202,1567,1189,2734,3401,1191,1249,1175,1725,1365,1221,147,1372,1080,1195,1073,536,1270,1045
8,1249,314,522,1080,2788,1119,2848,1958,1270,588,1191,583,2646,584,107,292,846,48,1238,1022,452,2721,3044,1195,1898,603,1257,940,1574,1214,1372,899,1352,1891,1021,1201,2917,1206,1567,1671,3326,2927,1365,1273,32,1354,1221,1225,592,3601
9,292,522,1194,45,256,1574,1958,1179,2501,1177,2927,107,1238,846,1178,1853,1119,1045,2326,1372,1244,1203,584,1626,1249,3077,2721,2254,1189,1175,767,2472,1898,219,452,1202,1237,1682,2198,2325,1286,3508,1581,1191,289,1635,1481,1073,30,550
10,256,1177,292,603,1175,522,1119,588,2788,899,1194,314,1958,1365,910,48,1189,739,1574,1226,891,536,1231,1200,1195,895,1206,1188,1372,1178,107,1219,1187,1257,1072,1214,1185,911,1022,1203,1181,1283,1267,1273,3351,1080,1238,1209,1229,1210
11,256,846,1958,314,1191,1219,292,107,48,603,1202,2788,1181,1195,906,1574,1365,2692,899,739,536,1119,1270,1022,1178,1249,584,1175,452,1189,3401,2326,351,911,1206,1203,1229,1884,1187,1221,1073,585,1231,1273,1352,1283,1567,910,2254,1194
