,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,2788,3683,2692,1958,522,2927,2613,3044,3826,2501,256,2889,2326,2636,846,219,2285,3681,1191,3338,899,1178,584,48,603,1671,1574,1179,1131,3090,900,2838,3845,3723,3411,911,292,895,1202,3440,1195,536,2558,1194,2254,2529,1080,2325,1210,3877
1,2788,3683,2692,3508,107,1958,522,2927,2613,588,3044,2501,3826,314,2889,2326,2636,1175,846,219,1191,3681,351,899,3338,1177,584,48,603,1574,1671,3077,475,1131,3090,900,2838,3723,292,3411,911,895,3845,907,1202,1195,3440,536,2558,1194
2,2788,3683,2692,3508,107,1958,522,2927,2613,588,3044,2501,3826,314,2889,2326,2636,1175,846,219,2285,1191,351,3681,899,3338,1177,1178,48,584,603,1574,3077,1671,475,3090,1131,900,2838,292,3411,3723,911,3845,895,907,1202,1195,3440,536
3,2788,3683,2692,3508,107,1958,522,2613,3044,3826,588,256,314,2889,2636,2326,1175,846,219,3681,1191,3338,351,899,1178,584,1177,603,3077,1671,1574,3090,1131,475,1179,3845,2838,3411,3723,911,895,292,907,3440,1202,1195,2558,536,3877,2529
4,2788,2692,3508,107,1958,2613,522,2927,3826,3044,588,2501,2636,256,2889,314,3681,1175,2285,2326,846,219,1191,351,3845,899,584,1671,3077,1178,1177,3090,48,1131,603,2838,1574,475,900,3715,3723,3411,1179,3440,3339,3877,895,907,911,292
5,2788,3683,2692,3508,1958,522,2613,2927,3826,3044,588,256,314,2889,2636,2326,1175,219,2285,846,3681,1191,351,3338,899,584,1178,48,1671,3077,1574,603,3090,1131,475,3845,1179,900,2838,3723,3411,292,895,3440,911,907,1202,1195,2558,536
6,3683,2692,3508,107,522,2613,2927,3826,3044,588,2501,256,314,2636,2889,1175,3681,846,2285,219,3338,351,1191,899,1177,1178,48,3845,3090,1574,1131,2838,900,1179,3723,3411,907,911,3440,1202,2558,3877,3715,1195,536,2529,3339,2325,2254,1080
7,2788,2692,3683,3508,107,2927,588,3044,2613,256,3826,2889,2326,846,1175,219,2636,1191,351,2285,899,1178,1177,3681,48,584,3338,603,1574,1179,3077,1671,475,900,1131,3090,292,2838,911,895,3411,3723,1202,907,1195,536,1194,2558,3845,1080
8,2788,3683,3508,2613,3826,107,3715,1958,522,2636,2927,3339,3044,3845,588,3338,2285,1175,2889,314,3877,219,846,1671,1191,899,3077,3090,3440,2838,3723,3411,584,900,3554,475,603,48,1574,3839,3089,3840,3485,895,3031,2640,2558,911,292,2691
9,3683,3508,2613,107,1958,522,3826,2927,3044,2636,2501,256,3681,2285,1175,2326,3338,219,846,3845,1191,899,3715,3339,1671,3077,584,3090,1131,1177,1178,2838,3723,475,1574,3440,3411,900,3877,1179,907,895,911,292,2558,3840,1202,2529,1195,2325
