,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,2788,256,1179,522,846,2501,1958,2692,603,292,1178,48,1191,1574,2927,899,2326,1202,584,536,1119,906,1195,1219,1194,739,1249,911,1080,1181,1365,3044,1244,2889,895,910,2734,452,2254,1022,1270,1231,1655,1283,891,2721,1189,1238,2646,1200
1,2788,256,522,314,846,1177,2501,1958,2692,588,603,107,292,1178,48,1191,1574,2927,899,2326,1175,351,1202,584,536,906,1195,1219,1194,739,1249,911,1080,1181,3508,1365,3044,1244,2889,895,910,2734,452,2254,1206,475,1022,1270,1231,1655
2,2788,256,522,314,846,1177,2501,2692,588,603,107,292,1178,48,1191,1574,2927,899,2326,1175,351,1202,584,536,1119,906,1195,1194,739,1249,911,1080,1181,3508,3044,1244,2889,895,910,2734,452,2254,1206,475,1022,1270,1231,1655,1283,891
3,2788,256,1179,522,314,846,1177,2501,1958,2692,588,603,107,292,1178,1191,1574,899,2326,1175,351,1202,584,536,1119,906,1195,1219,739,1249,911,1080,1181,3508,1365,3044,1244,2889,895,910,2734,452,2254,1206,475,1022,1270,1231,1655,1283
4,2788,256,1179,522,314,846,1177,2501,1958,2692,588,603,107,292,1178,48,1191,1574,2927,899,2326,1175,351,1202,584,536,1119,906,1195,1219,1194,739,1249,911,1080,1181,3508,1365,3044,1244,2889,895,910,2734,452,2254,1206,475,1022,1270
5,2788,256,1179,522,314,846,1177,2501,2692,588,603,292,1178,48,1191,1574,2927,899,2326,1175,351,1202,536,1119,906,1195,1219,1194,739,1249,911,1080,1181,3508,1365,3044,1244,2889,895,910,2734,2254,1206,475,1022,1270,1231,1655,1283,891
6,256,1179,522,314,846,1177,2501,2692,588,1178,48,1191,1574,2927,899,1175,351,1202,536,1119,906,1195,1219,739,1249,911,1080,1181,3508,1365,3044,1244,2889,910,2734,452,2254,1206,1022,1270,1231,1283,891,2721,1189,1238,2646,1200,1226,900
7,2788,256,1179,846,1177,1958,2692,603,107,292,1178,48,1191,1574,2927,899,2326,1175,351,1202,584,536,1119,906,1195,1219,1194,739,1249,911,1080,1181,3508,1365,3044,1244,2889,895,910,2734,1206,475,1022,1270,1231,1655,1283,891,2721,1189
8,2788,522,314,846,2501,1958,588,603,107,292,48,1191,1574,2927,899,1175,1202,584,1119,1195,1194,739,1249,911,3508,1365,3044,2889,895,910,452,1206,475,1022,1231,1283,891,2721,1189,1238,2646,1200,1226,900,1072,32,1187,108,1210,1188
9,2788,256,1179,522,846,1177,2501,1958,107,292,1191,1574,2927,899,2326,1175,351,1202,584,536,1119,906,1195,1219,1194,739,1249,911,1080,1181,3508,1365,3044,1244,895,910,452,2254,1206,475,1022,1270,1231,1283,891,2721,1189,1238,2646,1200
10,2788,256,1179,522,314,846,1177,2501,1958,2692,603,107,292,1178,48,1191,1574,2927,899,2326,1175,351,584,536,1119,1195,1219,1194,739,1249,911,1080,1181,3508,1365,3044,1244,2889,895,452,2254,1206,475,1022,1270,1231,1655,1283,891,2721
11,2788,314,846,1958,2692,603,107,292,1178,48,1191,1574,2927,899,2326,1175,351,1202,584,536,1119,906,1195,1219,1194,739,1249,911,1181,3508,1365,3044,1244,2889,895,910,2734,452,2254,1206,475,1022,1270,1231,1655,1283,891,2721,1189,1238
12,2788,256,1179,522,314,846,1177,2501,1958,588,603,107,1178,48,1191,1574,899,2326,1175,351,1202,584,536,1119,906,1195,1219,1194,739,1249,911,1080,1181,3508,1365,3044,1244,2889,895,910,2734,452,2254,1206,475,1022,1270,1231,1655,1283
13,2788,256,1179,522,314,846,1177,2501,1958,2692,588,603,292,1178,48,1191,1574,2927,899,2326,1175,351,1202,584,536,1119,906,1195,1219,1194,739,1249,911,1080,1181,3508,1365,3044,1244,2889,895,910,2734,452,2254,1206,475,1022,1270,1231
14,2788,256,1179,522,314,846,1177,2501,1958,2692,588,603,107,292,1178,48,1191,1574,2927,899,2326,1175,351,1202,584,536,1119,906,1195,1219,1194,739,1249,911,1080,1181,3508,1365,3044,1244,2889,895,910,2734,452,2254,1206,475,1022,1270
15,2788,1179,522,846,1177,2501,1958,603,107,1178,1191,2927,899,2326,1202,1119,906,1195,1194,1080,1181,3508,1365,2889,895,910,2734,2254,1206,475,1022,1270,1231,1655,1283,891,2721,1189,1238,2646,1200,1226,1257,1072,2848,108,1210,1286,1188,1538
16,314,846,2501,2692,588,603,292,1574,2927,899,2326,1175,351,1202,536,1119,1195,1194,739,1249,911,1181,3508,1365,3044,1244,2889,895,910,2734,452,2254,1206,475,1022,1231,1655,1283,891,2721,1189,1238,2646,1200,1226,900,1257,1187,2848,108
17,256,1179,522,314,846,1177,2501,1958,603,107,292,1178,48,1191,1574,2927,899,2326,351,1202,584,536,1119,906,1195,1219,1194,739,911,1080,1181,3508,1365,3044,1244,2889,895,910,2734,452,1206,475,1270,1231,1655,1283,891,2721,1189,1238
18,2788,256,1179,522,314,846,1177,1958,2692,588,603,292,1178,48,1191,2927,899,2326,1175,351,1202,584,536,1119,906,1195,1219,1194,739,1249,911,1080,1181,1365,3044,1244,2889,895,910,2734,452,2254,1206,475,1022,1270,1231,1655,1283,891
19,2788,256,1179,522,314,846,1177,2501,1958,2692,588,603,107,292,1178,48,1574,2927,899,2326,1175,351,1202,584,536,1119,906,1195,1219,1194,739,1249,911,1080,1181,3508,1365,3044,1244,2889,895,910,2734,452,2254,1206,475,1022,1270,1231
20,256,1179,522,846,1177,2501,1958,2692,588,107,292,1178,48,1191,1574,2927,899,2326,1175,351,1202,584,536,1119,906,1195,1219,1194,739,1249,911,1080,1181,3508,1365,3044,1244,2889,895,910,2734,452,475,1022,1270,1231,1655,1283,891,2721
21,2788,1179,522,314,2501,1958,2692,588,603,107,1178,48,1191,1574,899,2326,1175,351,1202,584,1119,906,1195,1219,1194,739,1249,911,1080,1181,3508,1365,3044,2889,895,910,2734,452,2254,1206,475,1022,1270,1231,1655,1283,891,2721,1189,1238
22,2788,314,1177,2501,1958,2692,603,107,1178,1191,1574,2927,2326,351,584,536,1119,1195,1219,739,1249,911,1080,1181,3508,1365,3044,1244,2889,895,910,2734,452,2254,1206,475,1022,1270,1231,1655,1283,891,2721,1189,1238,2646,1200,1226,900,1257
23,2788,522,314,846,2501,2692,588,603,107,292,1178,48,1574,2927,899,2326,1175,351,1202,584,536,1119,906,1195,1219,1194,739,911,1080,1181,3508,1365,3044,1244,2889,895,910,2734,452,2254,1206,475,1022,1270,1231,1655,1283,891,2721,1189
