,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,10776,16346,7879,781,4662,13834,12883,12914,11779,14200,13522,16952,8962,2453,6302,5599,365,6134,14690,4864,12062,9701,113,16051,10949,12644,11506,1870,16787,3068,4221,6365,11415,14838,16902,5363,6989,14744,7527,7526,7308,16473,5250,13680,1137,16851,14977,488,11504,6758
1,9026,12303,87,14325,1249,6304,16022,13026,9852,12757,11232,15340,1706,10582,13169,6353,13114,4705,4099,16785,11624,15250,3907,13187,6969,5181,11009,10510,7110,11428,6330,15369,9152,10537,16197,5040,10298,5813,2885,2382,16025,16233,11985,5758,6233,5168,14890,7550,8548,4773
2,6953,1777,800,4005,9051,4540,4896,4568,5370,3336,595,8975,4408,10885,14559,8317,10632,1350,3061,4186,4831,4482,4552,2220,10627,12743,4834,6842,10317,10575,14797,10165,6241,16866,12494,13061,10190,12154,3639,13454,7470,1682,9686,1076,9842,16972,10928,16129,11558,5978
3,755,4449,3415,2489,5034,13088,8912,399,4738,2240,1098,6355,3776,6641,10231,11784,198,7717,4041,1882,3133,14209,16975,12943,825,7308,1487,12087,11548,1869,16967,419,9801,157,13632,4639,1353,1355,13412,16636,3521,5790,12883,10581,15393,11573,5539,15248,5960,7668
4,4022,11904,5438,10976,547,8825,13300,1474,6658,14367,11009,15724,3688,16095,7520,9418,7221,10707,7623,15033,5707,5299,14664,8155,10568,421,7000,13407,4850,3285,4970,6933,8996,13679,15213,16633,13604,5851,9075,1612,13456,5610,8481,9066,862,13907,8445,10331,3763,10710
5,953,8482,4924,955,1454,4777,13582,5546,5310,10136,2048,11129,4453,3416,8534,7045,9960,8113,3178,8709,14553,166,6433,3982,4918,7713,7571,7605,2412,2398,14855,10911,14577,4480,8413,9444,5382,9292,8458,6767,308,7652,15217,12834,9812,3382,2360,2649,14516,10669
6,10223,6271,8788,12019,10371,5244,13910,4069,1744,859,9945,12562,13992,1834,9244,16979,15129,10141,11949,13727,12357,12441,5785,8156,7561,12374,850,13839,7296,14783,464,8573,14014,4255,12483,4921,3418,16767,15566,13216,14538,7381,8410,5209,4742,599,6091,9313,275,4809
7,11105,6406,1695,16178,13229,6151,11702,14989,15730,7693,13484,512,6476,16121,11271,12948,13075,6559,14241,10581,8306,13982,5785,12757,6335,5701,15576,10026,6800,13721,14329,15334,4260,10869,16046,16642,6721,7250,8085,2569,16877,15879,11814,12701,9105,13115,4715,2969,7948,3825
8,4862,2164,4280,10959,6748,3432,9816,4659,13514,5895,7680,15877,4055,1537,5048,13977,4032,12313,1761,13934,13727,13140,11733,5074,16570,9688,8738,11343,16352,9075,13046,14952,5059,4705,15703,14361,8929,2853,7213,16163,7734,5242,8825,13628,4664,10305,5704,79,5471,4875
9,14002,3184,13029,13205,11063,11939,2713,12638,12446,4107,3701,4709,2055,1386,4671,14341,1773,828,10213,3112,5643,12622,10191,2203,1924,1744,9690,5909,11335,14736,3590,1267,6119,3916,8240,7381,14418,729,4567,11375,12553,2424,560,12874,10155,5308,15169,3949,12075,16619
10,1745,10410,2541,2076,9454,5987,2311,2423,15131,13341,2792,3764,13353,1445,8003,14747,1378,9132,5368,12613,14583,12992,13741,1921,9510,11604,16657,2949,16936,6711,2393,12281,8550,11371,7771,12294,2402,11530,13971,7532,6935,3016,8146,14374,12249,13921,5174,5689,12379,11714
11,2829,12877,1846,1399,1781,10277,10049,9533,4435,16715,2444,408,1820,903,1144,14139,6940,14135,10861,6858,6111,13780,2568,947,106,14393,8565,16935,1363,15967,16856,474,2789,6230,1037,940,2306,9344,14784,3831,5881,1958,13156,2674,12098,12919,6010,14083,14297,6951
12,3160,4311,14035,16731,8,7120,16231,4532,15861,2051,11418,11537,3862,15856,3518,16011,9053,106,16608,9275,15132,16742,13240,1464,6435,15129,13506,11955,15662,165,10375,12404,4297,14588,30,6578,11845,8796,15885,1302,13445,13124,5129,15418,11367,1145,13127,9407,12918,4486
13,2878,5005,4383,12368,11741,4258,7651,3508,15455,1001,4242,5712,11475,14746,7580,7794,16793,16929,9105,179,2121,4686,15718,16086,3717,7003,5950,5472,11417,16458,3323,16010,1215,16762,3072,4506,7940,7756,15361,5465,7950,2320,13657,2743,9522,8590,12653,94,14212,13986
14,2653,7029,13943,5542,14290,3931,3844,2626,7164,8778,803,5269,16482,703,6761,7241,380,12183,15657,3872,12367,11776,8165,2341,11069,158,12337,9941,11261,10145,12499,9643,5534,12119,9850,9855,7137,14083,11591,7336,2107,5505,4638,11066,10817,14806,3437,13612,13042,12658
15,6359,15711,6169,10351,14137,1193,2552,10413,15386,1818,16840,14775,14162,15848,4766,7562,6464,308,239,12182,15662,2654,16788,13306,2616,7186,7032,309,13390,14277,16120,9188,15752,5437,14193,14361,16523,10056,6065,15866,14408,7143,7788,9821,145,11895,11879,5863,10783,2424
16,5850,220,239,9723,2901,4334,3415,7944,7943,14611,9978,3470,9010,6914,2339,11925,1292,6971,16325,8095,13166,8202,1163,13243,5463,16344,13663,6647,13327,4517,4449,2381,1251,13700,5442,10400,8509,8643,8256,3159,6188,10928,5701,611,3033,5041,12273,5468,13246,6193
