,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,10776,16346,4662,7879,13522,14200,781,12883,6123,13834,6302,5299,113,1045,16396,12914,10949,11779,5250,1870,10252,16051,6134,16851,14690,16473,365,16952,11506,488,5599,5898,13603,7574,6365,418,13860,14629,12314,10417,6989,3592,14744,12144,1137,5910,3143,12908,11415,2780
1,13169,16022,11232,12303,87,9852,6330,1249,10298,10582,6969,11009,9026,16197,1706,14325,5758,6717,10510,279,6233,3508,13108,8308,16233,7550,4705,15340,9745,9459,4773,10053,11428,8548,13187,8082,7534,1194,2885,15793,13026,14478,9152,881,13348,4099,14345,10820,6203,1182
2,800,6953,1777,9051,5370,4552,10165,10885,4005,4896,595,4482,11739,1350,12310,12154,1076,2220,3061,4831,11558,4540,3639,3336,15302,9421,8021,8975,2883,15764,4408,13679,9686,13454,1682,5978,7241,13729,9981,14361,16891,3258,8317,10575,13149,16225,1693,6842,954,7307
3,755,4449,3415,5034,198,157,5790,1882,3776,6833,3133,10231,16732,10581,5600,1098,11548,6641,6355,1943,3597,3356,13412,4406,7668,7076,10756,12883,16276,8912,13118,9501,13088,12955,3521,2240,4041,4639,15173,9379,14209,4197,5564,11573,8340,9933,12087,16871,6996,8097
4,11904,4022,4970,5438,19,8155,2129,14367,15033,16095,9418,13300,11009,6658,10976,421,5299,16633,8445,7623,6158,12962,15676,862,5577,16142,7221,225,6575,916,2480,1013,6479,7520,13897,7533,13679,2292,13604,13907,14975,12881,14664,15724,15007,8325,11834,3285,10509,5610
5,953,8482,4924,955,13582,308,5310,1454,4777,6433,11129,4453,7571,1828,3416,436,7605,14553,9960,8972,15791,7271,5546,9878,2048,6767,3178,11756,14577,13697,8413,15462,12957,13400,1432,2360,9733,15442,8435,7652,9292,11120,2649,2412,4480,3007,15573,2398,7655,9812
6,10223,5244,8788,4069,6271,12019,7192,12374,9945,8742,13910,16979,15129,12483,12441,1744,10371,599,1008,5249,10745,10539,7001,12357,16516,13992,10749,9180,13216,16767,15566,4742,16199,13727,9160,13382,656,11969,5785,5209,4653,11600,8156,5531,14579,1041,1946,15649,464,8410
7,11105,6406,5255,5701,1695,16178,8306,13484,15730,14989,512,12701,16642,16776,2624,14209,486,10188,13229,6151,9762,16061,16046,4458,8085,7250,13957,3349,2569,5754,10026,5912,13225,1042,5785,9665,13075,6721,13721,6476,5775,15964,16879,16877,16876,4715,9002,10869,1241,11814
8,4862,3432,13514,4055,9816,5895,7734,8131,2164,11,4280,12574,79,4831,11343,969,4705,15984,12990,2680,4084,13977,13934,14414,435,8353,6214,13140,12301,6538,15731,12313,4418,10030,11250,1537,16881,4749,15457,4930,5242,14952,8385,14956,5471,10512,11817,978,13155,14361
9,14002,3184,11063,4709,828,2055,2,11939,3701,2713,4671,14736,4964,13029,1773,12446,12638,5927,5909,1924,4618,1386,13205,10918,6119,3949,6639,4087,9954,8240,9690,10213,560,8443,3536,8587,14592,15169,12080,12874,11335,7218,12875,15275,12380,14418,1518,5794,1292,3916
10,2541,1745,12992,10410,1921,2423,4234,3764,5987,12281,1445,2076,1118,2311,11371,1378,13353,13296,2792,168,10221,16257,5689,5450,9454,7489,11172,14747,3338,15313,13361,16878,14408,11530,14374,1533,1712,13921,9510,10182,3819,7532,7848,3304,15290,14583,12613,4176,12249,6711
11,12877,2829,1781,1399,1846,9533,6111,4435,408,1037,474,10861,556,8565,1144,10049,2789,940,10277,1363,7680,983,6858,12565,14139,1958,1820,6823,6010,10493,2306,2674,14955,6230,10092,16491,15728,13885,2517,2406,15967,9156,14227,12098,11102,16715,14135,16856,106,8710
