,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,10776,7879,4662,16346,14200,13522,781,1045,13834,12883,16396,5599,488,5299,113,6123,6302,12914,16473,6134,11506,14690,16051,10252,1870,16851,365,6365,7574,12314,5898,10417,1137,3592,13603,16952,14629,13860,11779,5250,5910,15044,7362,3143,12934,7344,10868,879,654,4734
1,16022,11232,13169,12303,87,6969,9026,10298,10510,10582,9852,6330,1249,11009,13108,14325,1706,1182,16197,15340,7550,6233,5758,279,6717,3508,8308,16233,4705,10053,8548,11428,4773,9459,13187,14345,4099,13348,8082,881,9152,14478,13026,15793,1194,9976,2885,16785,10820,3907
2,800,6953,1777,9051,5370,10165,4552,4482,10885,4896,595,4005,3061,11739,1076,4831,12154,12310,9421,9819,4034,5137,8317,954,13454,7241,5978,4727,6241,3336,9842,14932,16866,6842,11373,4540,10575,3258,3639,16891,1693,14361,1682,9686,5154,15302,8021,2883,13729,13149
3,755,4449,3415,1882,157,198,1098,10231,3133,5790,16276,16732,11548,3776,5600,10581,6833,6641,9501,1943,10756,12943,2708,3356,3597,7076,12883,15248,13118,8340,13412,14209,11573,16871,3521,2240,5034,4041,4639,15173,12955,9379,6996,5564,8097,13088,9933,12087,4197,5539
4,11904,4022,4970,5438,2129,14367,8155,19,9418,13300,15033,10976,16095,11009,5299,16633,15724,6658,421,14975,12962,862,5577,7221,6158,16142,15676,7623,5610,13604,2480,1013,6479,7520,13897,7533,13679,2292,225,13907,12881,14664,15007,8325,11834,6575,3285,916,10509,11241
5,953,8482,4924,13582,955,1454,4777,5310,308,6433,4453,11129,1828,436,7605,7571,14553,5546,9878,3007,9960,8972,7271,2048,15791,3178,3416,11756,6767,15217,13201,12957,15479,9812,15462,12834,13400,9292,9733,4480,8435,15573,7652,11120,2649,14577,7655,2412,15442,11265
6,10223,4069,5244,8788,12019,6271,7192,12374,16979,8742,13910,9945,15129,12483,10371,12257,13666,3418,10749,1008,5249,13382,4653,4742,9180,7296,13465,965,16516,12357,1946,9160,16767,859,656,11969,5785,5209,11600,16199,8156,5531,14579,1041,15649,13727,14014,15566,13216,2375
7,11105,6406,5255,5701,1695,16178,13484,15730,512,14989,8306,6559,10788,2624,14209,2569,486,10578,13957,16776,16046,9762,4458,6476,14171,171,3349,16061,10188,16876,10869,12948,16121,13225,1042,5785,9665,13075,6721,13721,5775,1241,15964,16879,16877,11814,10026,9002,5912,8085
8,4862,4055,3432,9816,2164,8131,5895,13514,7734,12574,969,4831,15984,12990,4705,11343,4280,11,1761,2680,79,5059,13934,14414,13140,13155,12301,6214,435,6538,15731,8353,12313,978,13977,10030,11250,1537,16881,4749,4418,15457,5242,14952,8385,14956,5471,10512,4930,11817
9,14002,3184,11063,828,11939,2055,13029,4709,3701,4964,4671,5909,2713,14736,2,9954,1924,6091,1773,13205,4087,12446,10918,12638,3949,6639,8443,1386,5927,14223,10191,11331,12080,8606,12380,16619,7218,14592,15169,15207,15275,12874,12875,1518,14418,5794,8587,1292,14586,11335
10,2541,10410,1745,3764,1445,1921,12992,2423,4234,11371,5987,1118,12281,2076,2311,1378,13296,2792,10221,3338,6711,13921,1712,11530,12294,14408,7489,11172,3819,9454,7848,16257,13353,14747,15313,13361,16878,14374,1533,9510,10182,4176,12249,5450,12613,14583,15290,3304,7532,12379
11,12877,2829,1399,1781,1846,4435,408,6111,9533,2789,14139,474,10049,10277,1144,1363,2674,8565,1820,10861,7680,1037,940,556,6823,6858,14955,10493,6010,106,12919,13885,2517,15733,2406,8710,15967,16715,9156,14227,12098,11102,15728,947,2568,12565,16491,2306,3860,5523
12,3160,9053,15856,14035,16731,3062,6578,12404,2051,15861,8,784,106,4798,3862,13240,5129,16742,4311,10375,7120,6435,3390,9275,16608,5367,4297,12652,12417,13124,11367,1464,15507,3518,14588,4463,15885,9407,4532,7358,7604,4012,16231,13445,15129,2622,6780,8381,1302,11955
13,2878,7940,5005,4258,4242,3508,4383,3323,1766,8590,4686,12368,15762,1215,11741,9105,6945,94,9522,3717,15361,1001,16010,7188,3072,4142,13657,16435,7580,5465,3433,16762,16793,179,2320,10418,5555,16086,4506,11475,13986,8300,142,3396,214,7605,11837,4477,15718,5472
14,380,703,6761,7029,13943,2653,5542,2341,12367,7164,8165,2626,7295,5269,14290,3931,7241,8097,12835,16318,8895,9941,11261,10811,7310,13181,1305,15649,3872,13120,3965,12499,15385,5270,5257,7336,1016,7137,14665,4638,15657,16482,6852,6296,12228,9537,11776,15682,15059,158
15,6359,15711,6169,10413,14775,1818,308,12182,10005,16788,14193,5946,15866,8010,2552,14137,11053,14408,3860,16040,2822,4199,2424,10786,7832,16120,8662,10783,16289,8344,15752,145,4766,15305,5437,6464,1193,14361,2616,7562,8970,16523,9472,9188,16840,268,13390,7032,10198,1829
16,5850,220,239,3415,9723,3470,6914,8095,8202,13166,13243,6971,2339,6829,7944,12273,14611,9978,6647,4334,452,16325,7943,8643,5233,16862,6270,5442,16842,5468,8501,7232,2381,4517,10400,6188,6122,12979,15629,13537,9057,13001,9337,1883,16677,10928,5463,1292,8256,14066
17,3591,11346,3469,1122,15113,11898,1015,3809,1687,15666,10746,11453,1694,1170,14423,6186,14641,9232,11056,6190,14143,5511,11043,12035,7554,6796,9820,8882,4474,9028,15087,4359,15179,13572,1180,5783,10399,15959,8430,7884,1334,13879,6986,8015,5272,2511,3288,13357,12973,11301
18,6863,5573,3607,1177,14975,5523,11799,8602,5942,3315,9180,7534,5010,10268,484,4163,16231,6047,5950,3645,10412,8916,13358,10344,4493,16105,11468,1205,11536,7745,16775,5889,11611,5407,94,9285,15820,449,11074,3669,15434,7566,73,6630,14754,7202,8774,6174,269,1537
19,11211,8793,4854,2262,1090,10861,14968,4855,4834,1996,10507,9912,6971,9449,8758,3296,12484,672,4545,5152,15226,10987,5011,14180,13125,6542,749,14166,4466,9455,13088,3104,5771,1182,1682,7500,357,1544,7106,8267,9697,5582,16607,1199,11859,15790,722,13371,1204,8123
20,2485,4777,1697,1440,5682,11901,6404,10587,868,11944,7035,10450,565,7275,5362,3246,1024,2176,13741,2933,4022,16288,10935,14235,11299,627,2125,10872,3868,9934,8379,5825,6853,6024,11046,15846,12748,10103,11525,8758,3684,14104,13417,178,13107,15584,10480,2665,7754,15238
21,5898,6338,6143,985,7946,2158,16179,10449,2186,2377,1266,1792,4906,5076,7836,5436,12382,15926,3338,15610,1447,7002,15851,1594,9317,11774,6267,15531,3419,137,2180,11585,8399,4344,2565,9085,11540,3405,6292,1560,6976,234,14690,13621,6553,3147,12344,4660,10916,2646
22,2334,13163,550,3669,2691,11786,2588,956,3961,5273,1972,12536,1483,3083,1852,4241,1027,2832,5071,8831,2209,102,7009,7945,5672,7865,6199,11767,2919,5742,11565,13717,6991,7148,14928,7322,9990,16143,1881,1860,8374,1239,14409,12583,16828,7145,6103,14953,8660,6497
23,10705,14147,13102,16911,9581,13476,16875,95,16799,968,757,15728,1320,9286,6726,16172,15700,14605,1615,2695,3514,14923,10055,9120,16010,5315,6947,1496,12031,9787,7097,13038,1715,1027,16899,7332,4748,7701,4817,7729,8312,12105,5772,5785,5627,884,3051,1877,6906,4100
24,12453,15200,1387,80,7169,13212,13228,2056,15378,12187,12325,4492,11216,3628,13024,4192,8512,16668,1675,6811,13422,14338,14089,213,9934,8422,5429,4977,8937,13909,10406,10255,14482,14351,3527,16573,6143,371,9142,6131,11741,4777,7101,16720,5521,16729,12293,13569,7201,9417
25,5819,663,1441,861,10535,5812,6674,3885,929,7840,11173,2008,1736,7946,3610,5748,10710,3404,5526,12500,5718,6787,12502,16064,12557,16505,13648,13177,3026,8732,6828,4414,15952,15066,12963,11242,8359,16100,14917,2624,10989,7000,10861,16494,9691,10258,6477,6155,3540,941
26,10240,7171,3360,3190,10884,5683,16356,6209,4601,13594,12955,2994,4043,14556,8228,301,2450,10359,14064,10339,15136,13876,7722,10039,10033,14549,9789,11486,523,11368,6278,12830,8627,14931,6489,11549,3087,2295,9729,8662,13665,966,16818,8349,8346,7272,5183,1974,2368,16335
27,5590,4763,9218,1761,2681,15698,13,3942,5449,4668,5273,1267,10484,4742,12320,7416,3310,8604,2613,6676,16381,1072,8395,2745,656,13888,4710,12923,6218,13950,6543,1171,11537,1673,13075,4362,14666,10761,13572,8274,14744,9816,14726,15803,10547,7503,15188,4034,8878,14987
28,7658,5313,6298,7725,4828,11896,7667,4021,7135,15285,15892,11742,6697,7945,7700,6100,4197,10752,10564,15042,7850,7807,195,9418,6568,14633,2838,3854,14173,8403,8992,16868,7853,9521,11966,15173,6846,15567,14918,15959,1820,16336,14596,13629,1936,1546,1940,10537,1924,6775
