,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,4662,7879,16346,10776,14200,13522,781,1045,13834,12883,5599,16396,12914,6302,6123,5299,11779,113,16473,488,14690,5250,16051,365,6134,10949,10252,16952,1870,11506,16851,6365,7574,12314,5898,5910,10417,13603,3592,13860,1137,14629,11415,10868,2586,7344,15044,3143,654,15275
1,16022,12303,11232,13169,87,6969,9852,10298,10510,6330,13108,1249,9026,11009,16197,10582,7550,15340,1706,14325,1182,5758,6233,6717,279,8308,3508,16233,4705,10053,9459,11428,9745,8548,4773,881,13187,11863,8082,2885,1194,15793,13026,14478,9152,16785,10820,11829,11046,4099
2,800,6953,9051,1777,5370,4552,10165,4482,4005,10885,595,4896,3061,1076,11739,12310,4831,12154,8975,14932,4034,9819,9842,7241,954,4727,13454,9421,3336,6241,5978,16866,1693,5137,2883,8021,15302,8317,9686,1682,13729,14361,16891,3639,3258,10575,4540,11373,6842,5154
3,755,4449,1882,3415,10231,198,1098,157,5790,16732,6833,16276,11548,3133,10581,3776,5600,6641,8097,1943,12943,10756,2708,13412,13118,3597,7076,12883,15248,8340,9501,14209,5564,16871,3521,2240,5034,4041,4639,15173,12955,9379,6996,1487,11573,13088,9933,12087,4197,399
4,11904,2129,4022,5438,14367,4970,19,8155,9418,13300,16095,15033,10976,11009,6658,5299,16633,15724,421,14975,5707,8445,6158,12962,7623,862,5577,225,7221,15676,6575,916,2480,1013,6479,7520,13897,7533,13679,13604,2292,10509,12881,14664,15007,8325,11834,16142,13907,3285
5,953,8482,13582,955,4924,1454,4777,5310,308,4453,1828,6433,11129,7571,7605,436,5546,8972,14553,7271,3416,9878,3007,9960,2048,15791,11756,6767,3178,15217,2649,9812,15462,11768,11265,15479,13400,9292,9733,4480,15573,15442,8435,14577,7652,7655,12277,11120,2412,1432
6,10223,5244,4069,8788,6271,12019,12374,7192,16979,8742,9945,12483,13910,10371,12257,15129,12562,1008,16516,13465,7296,13382,13666,4742,4653,7001,10749,965,9160,2375,5249,9180,8156,13216,5531,14579,1041,11600,15649,13727,16199,5209,11969,12357,15566,16767,656,859,5785,14014
7,11105,6406,5255,5701,16178,1695,13484,8306,15730,512,14989,16879,16642,6559,13225,14209,10578,2624,486,5754,13957,10188,3349,16061,16776,14171,9762,16046,2569,4458,171,16876,5912,16121,1042,5785,9665,13075,6721,13721,5775,1241,15964,16877,10788,10026,9002,10869,6476,11814
8,4862,4055,3432,9816,8131,2164,5895,12574,969,13514,4831,7734,15984,12990,4705,2680,1761,11343,4280,11,79,5059,14414,15731,13155,13140,12301,6214,435,6538,13934,8353,12313,978,13977,10030,11250,1537,16881,4749,4418,15457,5242,14952,8385,14956,5471,10512,4930,11817
9,14002,11063,3184,13029,5909,828,11939,3701,2055,4964,14736,4709,2713,4671,2,1924,13205,9954,12638,4087,12446,10918,3949,1773,6091,6639,1386,8443,9690,4618,10213,560,5927,6119,8587,7218,2295,11747,15207,12380,16619,1292,3536,14592,14418,12874,15169,5794,12875,11331
