,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,10776,16346,4662,7879,781,13522,14200,5599,11506,5299,13834,1045,16851,16396,12914,418,488,12883,10949,11779,6302,14629,16952,6123,14690,6365,10252,7574,113,365,16473,16051,5910,5898,5250,13603,3592,1870,13860,12314,6134,1137,15237,10417,3143,2780,14744,12908,2935,11415
1,13169,6304,16022,11232,12303,87,10298,6330,9852,10582,1249,10510,14325,11009,6969,16197,1706,6233,9026,5758,8308,3508,1182,4817,13108,11863,7550,6717,15340,279,10043,9459,9745,1194,13187,881,10053,4705,16233,16025,4773,8548,11428,10820,13026,16785,8082,13348,15793,2885
2,800,1777,6953,5370,9051,4552,10165,10885,4005,4896,4482,8975,11739,12310,3061,1076,4831,12154,1350,595,4540,3639,11558,2220,15764,16225,10861,4727,8021,13454,15302,9421,9686,1682,3336,954,6842,7241,14361,16891,9981,3258,8317,10575,13149,5978,11000,2883,13729,6241
3,755,4449,3415,1882,8097,6833,5790,16276,157,5600,16732,198,10581,10231,1098,3776,1353,2489,5034,6641,11548,1487,12087,16871,15248,14209,12883,399,9933,5960,974,13412,12955,13088,15173,5564,6996,4197,419,9379,2593,4639,4041,3133,8340,2240,10756,3356,11573,5539
4,11904,4022,4970,19,2129,9418,15033,8155,5438,14367,13300,16095,11009,14975,8445,5707,15600,421,6658,15724,16633,5299,10976,7221,225,15676,6158,12962,862,7623,5577,6575,916,2480,1013,6479,7520,13897,7533,13679,2292,13907,10509,12881,14664,15007,8325,11834,13604,16142
5,953,8482,4924,955,13582,308,1454,5310,4777,1828,6433,436,7571,11129,4453,3416,7605,8972,9878,7271,11756,3007,15791,9960,5546,3178,14553,6767,14855,15217,7416,2048,9733,13400,15442,8435,7652,11120,2649,7655,13697,15479,14577,15573,11768,12277,12834,13201,2412,4918
6,10223,5244,8788,12019,4069,6271,7192,12374,16979,12257,12483,12562,8742,9945,15129,6091,10371,13910,1744,12441,1593,13465,9160,12357,13382,4742,656,4653,1946,5249,7296,9180,965,13216,11969,5785,5209,11600,16199,8156,13666,5531,1041,15649,13727,16516,15566,16767,14579,1008
7,11105,6406,5255,1695,5701,512,16441,13484,8306,15730,3532,13225,16879,16642,6559,14399,6151,14989,16178,13075,12701,8085,486,13957,9762,2624,171,3349,6476,16061,16776,13229,14209,16877,10869,9002,10026,16876,14171,15964,1241,5775,13721,6721,9665,5785,1042,13982,5912,16046
8,4862,3432,13514,9816,4055,8131,5895,12990,11343,2164,7734,11,4831,969,12574,15984,4705,1761,5059,2680,79,4280,15907,13977,4749,16881,6214,10512,4418,1537,14956,2853,978,5471,15457,11250,13155,5242,4930,11817,435,8385,14414,13934,8353,15731,13140,12301,10030,14952
9,14002,3184,828,11063,11939,4671,4709,2055,3701,4964,14736,13029,2713,2,6091,5909,1924,9954,12638,1773,4087,3949,1386,8443,9690,13205,10918,12446,6639,10213,8240,6119,560,5927,4618,11747,2295,7218,12380,15207,8587,12875,14592,15169,5794,14418,3536,12874,16619,11331
10,10410,2541,1445,12992,1921,4234,1745,5987,2076,2423,3764,2311,11371,12281,2390,13353,1378,13296,1118,168,10221,2792,16257,3338,4303,530,3016,1712,13921,14408,11530,15290,7532,14747,15313,13361,16878,14374,1533,9510,10182,4176,12249,5450,12613,11172,3304,7848,3819,8003
