,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,418,13680,15237,1137,2803,10776,488,9701,113,5363,7362,14629,6134,1045,11506,781,379,16851,2842,3904,5299,7574,7308,5599,14200,5910,2586,10736,2935,3143,12144,6011,6758,654,11334,2780,14977,6365,6123,16952,6989,4449,11504,3068,12314,3592,7879,6030,15044,365
1,1194,10043,6304,9026,881,4817,1617,3907,1706,1182,14384,2678,5813,6969,10582,14325,11232,5040,16233,2042,3518,4099,5758,4705,8864,87,7110,6233,16025,6203,11163,11624,5181,11985,11829,10510,13169,11767,8411,8082,9221,11863,5168,8548,9169,10053,4773,7534,2885,7621
2,13679,1350,954,4834,10632,2220,4896,3336,4540,8975,12494,13061,5803,595,1777,1346,2651,4005,3639,6411,11455,6953,9051,4831,6670,1693,2883,10627,16866,10575,13149,10885,1347,16129,1566,4568,8317,11739,5370,16225,11426,11826,7387,13729,8021,4482,10022,14559,10190,7470
3,5034,2240,755,2489,13632,1353,4197,15821,3133,7076,2593,15633,853,15248,4406,8097,399,11583,1098,16636,16276,974,11548,825,5756,7308,10682,4738,5600,13088,16732,6641,3999,157,9558,3776,10581,3987,16975,4449,1882,2695,13118,6934,1487,9801,13412,15173,8340,3415
4,10944,2292,13679,546,15600,715,2480,4970,3763,4022,225,15007,6933,10509,5610,10976,6301,8445,13407,4793,5299,15676,1013,5438,12736,5707,12881,421,6658,9418,547,11990,13842,8155,14664,15213,11904,5851,7520,14975,3688,11241,19,2873,8996,8325,2129,7623,810,6479
5,13697,1454,436,3007,1828,9878,7416,4777,1542,3178,16141,953,14855,308,15573,11265,4924,10696,5546,2735,2048,2577,4453,4480,11129,2360,4519,7547,6433,8413,2649,6777,9960,11527,58,7605,9812,9777,2729,3154,10669,15217,3382,8113,6767,12728,13582,5310,11768,8213
6,4069,10539,13666,13727,6091,3637,1041,15649,4002,4742,4591,2375,7192,3418,1834,6766,1946,14673,7001,13382,859,8799,9313,12374,12562,8573,275,656,6878,5249,12257,5244,1008,5531,12182,965,4237,8788,15129,16199,16979,8410,16516,13910,9160,4255,11949,15566,7463,10749
7,13721,6721,14399,11105,14171,10768,1042,3532,16441,171,7250,5701,486,13225,6559,1695,3232,5255,12948,6406,6151,16178,14989,10522,6419,8085,4458,512,10578,13229,6342,10593,15964,10088,13115,6476,10581,8792,5075,717,5912,9002,10869,10788,8306,5775,16876,296,9105,588
8,13727,14042,2164,12990,2853,4280,7734,1761,11343,4084,6214,4018,11,5895,969,1537,8385,13402,15984,12406,3233,4032,9636,978,5643,8131,4875,4705,6538,8738,4055,10305,4831,7686,13514,13977,16352,14956,4862,79,3432,5059,8929,9816,7213,15199,11629,4659,13155,435
9,2,9954,6091,1773,11939,828,11331,6437,4964,2055,16664,4709,8443,5927,5794,14002,16323,12080,3472,6292,14418,1518,4671,6639,4376,1267,1292,3536,5643,1103,4618,8606,4087,8240,10918,3590,7116,4107,4567,5181,2295,14341,14586,3701,2713,11481,16619,11335,12553,1924
