,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
0,4662,16346,7879,10776,14200,13522,781,5599,13834,1045,418,12914,16396,11779,12883,16851,11506,6302,6123,5299,14690,113,16473,10949,488,5250,365,16952,14629,16051,7574,6365,2586,10417,12314,13603,3592,10252,11415,6989,6134,15237,1870,1137,15044,7362,13860,6758,5898,379
1,13169,16022,12303,11232,10582,6304,87,9852,1249,9026,6969,10298,11009,6330,10510,14325,16197,1182,13108,5758,7550,15340,1194,6717,279,8308,4817,6233,10053,11863,4705,1706,16233,10043,9459,13187,11428,8548,4773,9745,881,3508,8082,14384,13026,4099,13348,9976,15793,10820
2,800,6953,1777,9051,5370,4552,10165,4482,4005,4896,595,10885,3061,8975,1076,1350,4831,12154,11739,12310,4540,6241,1693,4727,13454,954,9842,4034,3336,9819,14932,5978,7241,9421,5137,2883,8021,15302,9686,8317,1682,13729,14361,16891,3639,3258,10575,11373,6842,10861
3,4449,755,3415,1882,5034,10231,1098,6833,157,16732,2489,11548,16276,8097,10581,5600,6641,198,3133,1353,5790,3776,2240,15248,399,1943,974,3597,13412,14209,12955,16871,12087,5960,1487,15173,13088,11573,5564,6996,4197,419,9379,2593,4639,4041,8340,3356,9933,5539
4,11904,4022,2129,5438,14367,4970,19,8155,9418,13300,16095,15033,11009,10976,6658,14975,5299,15724,16633,421,5707,8445,15600,225,7221,12962,6158,862,5577,7623,15676,6575,916,2480,1013,6479,7520,13897,7533,13679,2292,13907,10509,12881,14664,15007,8325,11834,13604,16142
5,953,8482,13582,955,4924,1454,5310,4777,308,4453,6433,11129,1828,7571,7605,436,8972,7271,5546,14553,9878,3007,2048,15791,3416,6767,11756,9960,3178,14855,7416,13584,4918,8435,7652,11120,2649,2412,12834,7655,14577,15573,15479,11768,4480,12277,9733,1432,13697,10878
6,10223,5244,8788,12019,6271,4069,12374,16979,7192,8742,12483,10371,15129,9945,12257,12562,13910,6091,12441,1744,599,9180,656,4742,7296,5249,12357,13382,9160,13465,1946,4653,965,13216,11969,5785,5209,11600,16199,8156,13666,5531,1041,15649,13727,16516,15566,16767,14579,1008
7,11105,6406,5255,1695,5701,16178,16441,13484,512,8306,15730,16642,14989,3532,16879,8085,14399,13225,6559,14171,13075,6151,6721,3349,13957,16061,486,13229,14209,16776,2624,4715,171,9762,16877,5912,10869,9002,10026,16876,16046,15964,1241,5775,13721,9665,5785,1042,6476,2569
8,4862,3432,4055,9816,8131,2164,12574,5895,4831,969,12990,7734,13514,15984,79,4705,2680,1761,11343,4280,13934,15731,13140,12301,6214,13155,435,6538,14414,8353,12313,978,4084,9688,10030,11250,1537,16881,4749,4418,15457,5242,14952,8385,14956,5471,11817,10512,4930,15300
9,14002,3184,11063,13029,5909,3701,11939,2055,14736,828,2713,4964,4671,4709,1924,2,6091,4087,12638,12446,3949,10918,13205,1386,1773,6639,9954,8443,5927,10213,560,9690,11331,16619,3536,12080,14592,15169,7218,15275,12875,12380,14418,5794,8587,1518,1292,11335,12874,3916
10,2541,10410,1445,1921,3764,1745,5987,2423,4234,2311,2076,12992,1118,11371,1378,13296,12281,2792,2390,13353,3016,16257,10221,4303,11530,1712,14408,13921,3338,11172,3819,12613,7848,5174,14747,15313,13361,16878,14374,1533,9510,10182,4176,12249,5450,7489,15290,3304,7532,14583
